name,county,latitude,longitude
Barclay,Sangamon,39.5229,-89.3104
Bardolph,Mcdonough,40.2942,-90.3352
Barlow Park,Vermilion,40.1834,-87.3723
Barnes,Mclean,40.301,-88.5406
Barnett,Madison,38.5116,-89.5304
Barnett,Montgomery,39.1552,-89.415
Barney Ford,Coles,39.3307,-88.0607
Barnhill,Wayne,38.1704,-88.2151
Barr,Macoupin,39.2417,-90.0615
Barr,Sangamon,39.5743,-89.4149
Barreville,McHenry,42.1632,-88.1545
Barrington,Cook,42.0914,-88.081
Barrington,Lake,42.0914,-88.081
Barrington Center,Kane,42.0638,-88.1139
Barrington Hills,Cook,42.0841,-88.092
Barrington Hills,Kane,42.0841,-88.092
Barrington Hills,McHenry,42.1007,-88.1527
Barrington Woods,Cook,42.0908,-88.0321
Barrow,Greene,39.3022,-90.2405
Barry,Pike,39.4139,-91.022
Barstow,Rock Island,41.3106,-90.2125
Bartelso,Clinton,38.3211,-89.2759
Bartlett,Cook,41.5942,-88.1108
Bartonville,Peoria,40.3901,-89.3907
Basco,Hancock,40.194,-91.12
Batavia,Kane,41.51,-88.1845
Batchtown,Calhoun,39.0159,-90.3927
Bates,Sangamon,39.4327,-89.5058
Batestown,Vermilion,40.0712,-87.4147
Bath,Mason,40.1136,-90.0827
Baum,Greene,39.1939,-90.1856
Bay City,Pope,37.1456,-88.2948
Bay View Garden,Woodford,40.4832,-89.3114
Bayle City,Fayette,39.065,-89.0958
Baylestown,Macoupin,39.0529,-89.5246
Baylis,Pike,39.4342,-90.5429
Beach Station,Lake,42.2516,-87.5057
Beamington,Sangamon,39.4015,-89.353
Beardstown,Cass,40.0103,-90.2527
Bearsdale,Macon,39.5349,-89.004
Beason,Logan,40.0837,-89.1136
Beaty,Fulton,40.163,-90.1445
Beaucoup,Washington,38.2059,-89.1731
Beaver Creek (Wisetown),Bond,38.4603,-89.2337
Beaverton Crossroads,Boone,42.2428,-88.4918
Beaverville,Iroquois,40.5716,-87.3916
Beckemeyer,Clinton,38.362,-89.2609
Bedford,Pike,39.3145,-90.3503
Bedford Park,Cook,41.4546,-87.48
Bee Creek,Pike,39.2401,-90.3809
Beech Landing,Calhoun,38.5825,-90.4021
Beecher,Will,41.2026,-87.3717
Beecher City,Effingham,39.1117,-88.4712
Beechville,Calhoun,38.5817,-90.3851
Belden,McHenry,42.2827,-88.205
Belgium,Vermilion,40.0341,-87.3817
Belgium Row,Vermilion,40.0759,-87.4513
Belknap,Johnson,37.193,-88.562
Bell,Logan,40.1131,-89.2315
Bellair,Crawford,39.0831,-87.5643
Belle Prairie City,Hamilton,38.1321,-88.3319
Belle Rive,Jefferson,38.1358,-88.4426
Belleview,Calhoun,39.2103,-90.4652
Belleville,St Clair,38.3112,-89.5902
Bellevue,Peoria,40.4104,-89.4048
Bellflower,Mclean,40.2024,-88.3137
Bellmont,Wabash,38.2304,-87.5441
Bells Landing,Fulton,40.3016,-89.5307
Belltown,Greene,39.2257,-90.2428
Bellwood,Cook,41.5253,-87.5259
Belmont,Du Page,41.4734,-88.0216
Beltrees,Jersey,38.5734,-90.1932
Belvidere,Boone,42.155,-88.5039
Bement,Piatt,39.5519,-88.3419
Benld,Macoupin,39.0534,-89.4814
Bennett,Vermilion,40.0351,-87.4822
Bennett Landing,Union,37.3202,-89.2954
Bennington,Edwards,38.3127,-88.0753
Bensenville,Du Page,41.5718,-87.5624
Benson,Woodford,40.5102,-89.072
Bentley,Hancock,40.204,-91.0642
Benton,Franklin,37.5948,-88.5512
Benton Park,Franklin,38.0335,-88.5453
Bentown,Mclean,40.2819,-88.4823
Benville,Brown,39.5151,-90.5153
Berdan,Greene,39.2154,-90.2343
Berkeley,Cook,41.532,-87.5412
Berkeley,Du Page,41.532,-87.5412
Berlin,Sangamon,39.4532,-89.5411
Bernice,Cook,41.3445,-87.3253
Berryville,Richland,38.3558,-87.5543
Berryville,Union,37.2725,-89.1716
Berwick,Warren,40.4757,-90.3218
Berwyn,Cook,41.5102,-87.4737
Bessie,Franklin,37.595,-88.4845
Bethalto,Madison,38.5433,-90.0226
Bethany,Moultrie,39.3844,-88.4417
Bethel,Morgan,39.4635,-90.2529
Bethel,Vermilion,39.535,-87.324
Beverly,Adams,39.4736,-90.5927
Beverly Manor,Tazewell,40.4142,-89.2803
Bible Grove,Clay,38.5219,-88.2646
Biddleborn,Washington,38.1752,-89.4105
Big Bay,Massac,37.19,-88.4318
Big Foot Prairie,McHenry,42.2942,-88.3556
Big Rock,Kane,41.455,-88.3249
Biggs,Mason,40.1429,-89.5415
Biggsville,Henderson,40.5113,-90.5153
Billett,Lawrence,38.3952,-87.3908
Bingham,Fayette,39.0651,-89.1248
Binghampton,Lee,41.43,-89.1814
Bingman Station,White,38.0459,-88.1441
Binney,Madison,38.5924,-89.4338
Birch Island,Calhoun,39.0753,-90.4052
Birds,Lawrence,38.5013,-87.4004
Birds,Will,41.283,-88.115
Birkbeck,De Witt,40.1037,-88.5206
Birkner,St Clair,38.3344,-90.0145
Birmingham,Schuyler,40.1551,-90.4915
Bishop,Mason,40.2045,-89.5229
Bishop Hill,Henry,41.1206,-90.0708
Bismarck,Vermilion,40.155,-87.3629
Bissell,Sangamon,39.5046,-89.3454
Bixby,St Clair,38.2935,-90.1325
Black,Edwards,38.2804,-88.061
Blackhawk,Carroll,42.1115,-90.1326
Blackland,Macon,39.4541,-89.0614
Blackstone,Livingston,41.0504,-88.4127
Blaine,Boone,42.2649,-88.4811
Blair,Livingston,41.0612,-88.1831
Blair,Randolph,38.0241,-89.4431
Blairsville,Hamilton,38.1006,-88.2751
Blairsville,Williamson,37.484,-89.0725
Blakes,La Salle,41.2731,-88.451
Blanding,Jo Daviess,42.1629,-90.2309
Blandinsville,Mcdonough,40.3322,-90.5157
Block,Champaign,39.5806,-88.0508
Blodgett,Will,41.2239,-88.1124
Bloomfield,Adams,40.0115,-91.1825
Bloomfield,Edgar,39.4534,-87.4057
Bloomfield,Johnson,37.2709,-88.523
Bloomingdale,Du Page,41.5727,-88.0451
Bloomington,Mclean,40.2903,-88.5937
Bloomington Heights,Mclean,40.285,-89.0201
Blue Island,Cook,41.3926,-87.4048
Blue Mound,Macon,39.4204,-89.0723
Blue Ridge,Piatt,40.1604,-88.2917
Bluff City,Fayette,38.575,-89.0247
Bluff City,Schuyler,40.1049,-90.1349
Bluff Junction,Madison,38.4906,-89.5857
Bluff Springs,Cass,39.5916,-90.2045
Bluffs,Scott,39.4507,-90.3206
Bluffside,St Clair,38.2902,-90.0917
Bluford,Jefferson,38.1951,-88.4333
Blyton,Fulton,40.3351,-90.1635
Boaz,Massac,37.173,-88.5359
Bobtown,Menard,40.0434,-89.5917
Boden,Mercer,41.153,-90.3513
Bodmann,Piatt,39.5258,-88.3445
Bogota,Jasper,38.5506,-88.1424
Bohleysville,St Clair,38.2455,-90.0707
Bolingbrook,Will,41.4155,-88.0406
Bolivia,Christian,39.4432,-89.2049
Bolton,Stephenson,42.1431,-89.4331
Bondville,Champaign,40.0648,-88.221
Bone Gap,Edwards,38.2651,-87.5945
Bonfield,Kankakee,41.0848,-88.0328
Bongard,Champaign,39.5527,-88.0725
Bonnie,Jefferson,38.121,-88.5412
Boody,Macon,39.4559,-89.0257
Boos,Jasper,38.5548,-88.0639
Boothby,Franklin,38.0008,-88.4643
Borton,Edgar,39.3921,-87.5602
Boskydell,Jackson,37.4016,-89.1249
Boulder,Clinton,38.4148,-89.1332
