Berkshire	Tioga	1,412	30.216	0.010	42.296636, -76.165659	3610706145	00978726
Berlin	Rensselaer	1,880	59.603	0.319	42.660802, -73.380018	3608306189	00978727
Berne	Albany	2,794	64.030	0.704	42.603917, -74.130358	3600106211	00978728
Bethany	Genesee	1,765	36.035	0.035	42.919587, -78.126802	3603706266	00978729
Bethel	Sullivan	4,255	85.265	4.693	41.689061, -74.853955	3610506310	00978730
Bethlehem	Albany	33,656	49.030	0.834	42.585940, -73.827782	3600106354	00978731
Big Flats	Chemung	7,731	44.484	0.581	42.138490, -76.913756	3601506475	00978732
Binghamton	Broome	4,942	25.251	0.088	42.035053, -75.905551	3600706618	00978734
Birdsall	Allegany	221	35.889	0.171	42.397379, -77.889195	3600306717	00978735
Black Brook	Clinton	1,497	129.974	4.361	44.524426, -73.817513	3601906761	00978736
Bleecker	Fulton	533	57.127	2.285	43.173404, -74.381782	3603506882	00978737
Blenheim	Schoharie	377	33.933	0.461	42.488372, -74.522581	3609506893	00978738
Blooming Grove	Orange	18,028	34.736	0.616	41.395660, -74.184287	3607107003	00978739
Bolivar	Allegany	2,189	35.863	0.010	42.034778, -78.136902	3600307201	00978740
Bolton	Warren	2,326	63.270	26.771	43.579414, -73.657631	3611307234	00978741
Bombay	Franklin	1,357	35.743	0.125	44.914578, -74.586536	3603307278	00978742
Boonville	Oneida	4,555	71.878	0.698	43.459155, -75.285070	3606507366	00978743
Boston	Erie	8,023	35.820	0.000	42.652830, -78.755463	3602907454	00978744
Bovina	Delaware	633	44.263	0.232	42.273814, -74.756993	3602507597	00978745
Boylston	Oswego	549	39.152	0.021	43.657921, -75.953469	3607507674	00978746
Bradford	Steuben	855	25.122	0.114	42.330742, -77.133893	3610107740	00978747
Brandon	Franklin	577	41.255	0.067	44.735417, -74.414747	3603307839	00978748
Brant	Erie	2,065	24.314	0.424	42.594817, -79.024700	3602907894	00978749
Brasher	St. Lawrence	2,512	91.103	0.967	44.888187, -74.723707	3608907938	00978750
Bridgewater	Oneida	1,522	23.845	0.012	42.904171, -75.265132	3606508180	00978751
Brighton	Franklin	1,435	77.896	5.100	44.469848, -74.247779	3603308213	00978752
Brighton	Monroe	36,609	15.416	0.168	43.118015, -77.582070	3605508246	00978753
Bristol	Ontario	2,315	36.694	0.015	42.808110, -77.425596	3606908378	00978754
Broadalbin	Fulton	5,260	31.722	8.059	43.076333, -74.152367	3603508433	00978755
Brookfield	Madison	2,545	77.822	0.196	42.807991, -75.343295	3605308587	00978757
Brookhaven	Suffolk	486,040	259.439	272.097	40.857448, -72.959840	3610310000	00978758
Broome	Schoharie	973	47.741	0.250	42.504012, -74.293643	3609510154	00978760
Brownville	Jefferson	6,263	59.132	7.320	44.026880, -76.083381	3604510242	00978761
Brunswick	Rensselaer	11,941	44.347	0.280	42.749998, -73.582839	3608310275	00978762
Brutus	Cayuga	4,464	22.106	0.394	43.045665, -76.545611	3601110297	00978763
Burke	Franklin	1,465	44.405	0.000	44.926169, -74.182069	3603311165	00978765
Burlington	Otsego	1,140	44.891	0.122	42.717320, -75.144624	3607711209	00978766
Burns	Allegany	1,180	27.220	0.036	42.435979, -77.781834	3600311253	00978767
Busti	Chautauqua	7,351	47.825	0.014	42.051324, -79.326276	3601311451	00978768
Butler	Wayne	2,064	37.090	0.079	43.177119, -76.765002	3611711473	00978769
Butternuts	Otsego	1,786	53.829	0.040	42.469617, -75.320901	3607711528	00978770
Byron	Genesee	2,369	32.212	0.079	43.084761, -78.066965	3603711572	00978771
Cairo	Greene	6,670	59.828	0.254	42.298811, -74.015664	3603911649	00978772
Caledonia	Livingston	4,255	43.875	0.251	42.952791, -77.820303	3605111715	00978773
Callicoon	Sullivan	3,057	48.591	0.355	41.835839, -74.924132	3610511759	00978774
Cambria	Niagara	5,839	39.710	0.000	43.176589, -78.820251	3606311803	00978775
Cambridge	Washington	2,021	36.357	0.127	43.007825, -73.446055	3611511836	00978776
Camden	Oneida	4,934	54.013	0.141	43.345094, -75.774347	3606511858	00978777
Cameron	Steuben	945	46.704	0.058	42.226656, -77.421703	3610111880	00978778
Camillus	Onondaga	24,167	34.424	0.017	43.066596, -76.313465	3606711913	00978779
Campbell	Steuben	3,406	40.685	0.094	42.230042, -77.166427	3610111946	00978780
Canaan	Columbia	1,710	36.676	0.280	42.407900, -73.461763	3602112056	00978781
Canadice	Ontario	1,664	29.851	2.585	42.718531, -77.558586	3606912100	00978782
Canajoharie	Montgomery	3,730	42.632	0.501	42.865366, -74.614882	3605712122	00978783
Canandaigua	Ontario	10,020	56.796	5.735	42.861633, -77.314188	3606912155	00978785
Candor	Tioga	5,305	94.510	0.110	42.230947, -76.332452	3610712221	00978786
Caneadea	Allegany	2,542	35.649	0.693	42.393776, -78.131108	3600312243	00978787
Canisteo	Steuben	3,391	54.351	0.009	42.237887, -77.535418	3610112265	00978788
Canton	St. Lawrence	10,995	104.765	1.098	44.574414, -75.210848	3608912342	00978789
Cape Vincent	Jefferson	2,777	56.353	33.499	44.114766, -76.290981	3604512364	00978790
Carlisle	Schoharie	1,948	34.124	0.128	42.740232, -74.436545	3609512452	00978791
Carlton	Orleans	2,994	43.607	0.801	43.339906, -78.208493	3607312496	00978792
Carmel	Putnam	34,305	35.907	4.786	41.387098, -73.722738	3607912529	00978793
Caroga	Fulton	1,205	50.627	3.651	43.124008, -74.525070	3603512573	00978794
Caroline	Tompkins	3,282	54.763	0.130	42.357575, -76.334979	3610912606	00978795
Carroll	Chautauqua	3,524	33.320	0.023	42.039848, -79.098719	3601312639	00978796
Carrollton	Cattaraugus	1,297	42.299	0.041	42.056363, -78.637943	3600912661	00978797
Castile	Wyoming	2,906	36.980	1.415	42.664387, -78.021835	3612112782	00978798
Catharine	Schuyler	1,762	32.295	0.605	42.337939, -76.733699	3609712914	00978799
Catlin	Chemung	2,618	37.989	0.027	42.231245, -76.895550	3601512947	00978800
Cato	Cayuga	2,537	33.643	2.544	43.120219, -76.536757	3601112969	00978801
Caton	Steuben	2,179	37.565	0.434	42.035747, -77.023787	3610112991	00978802
Catskill	Greene	11,775	60.439	3.726	42.208688, -73.938888	3603913013	00978803
Cayuta	Schuyler	556	20.319	0.000	42.271993, -76.684886	3609713112	00978805
Cazenovia	Madison	7,086	49.870	1.844	42.915928, -75.861962	3605313156	00978806
Centerville	Allegany	822	35.435	0.047	42.474965, -78.267693	3600313475	00978807
Champion	Jefferson	4,494	44.184	0.889	43.973154, -75.706123	3604513717	00978808
Champlain	Clinton	5,754	51.231	7.585	44.966280, -73.436895	3601913750	00978809
Charleston	Montgomery	1,373	41.890	0.973	42.824767, -74.355772	3605713816	00978810
Charlotte	Chautauqua	1,729	36.432	0.000	42.304888, -79.237368	3601313860	00978811
Charlton	Saratoga	4,133	32.774	0.188	42.957874, -73.991978	3609113926	00978812
