Brownville	Jefferson	1,119	0.673	0.004	44.005307, -75.983070	3610231	02391566		Brownville
Brushton	Franklin	474	0.276	0.000	44.830681, -74.511908	3610286	02391567		Moira
Buchanan	Westchester	2,230	1.382	0.339	41.261063, -73.948349	3610341	02391568		Cortlandt
Burdett	Schuyler	340	0.962	0.000	42.416868, -76.843957	3611132	02391569		Hector
Burke	Franklin	211	0.290	0.000	44.903170, -74.170003	3611154	02391570		Burke
Caledonia	Livingston	2,201	2.097	0.000	42.975473, -77.857113	3611704	02391571		Caledonia
Cambridge	Washington	1,870	1.678	0.000	43.027906, -73.381138	3611825	02391572		Cambridge & White Creek
Camden	Oneida	2,231	2.436	0.000	43.336477, -75.747730	3611847	02391573		Camden
Camillus	Onondaga	1,213	0.390	0.000	43.038673, -76.309499	3611902	02391574		Camillus
Canajoharie	Montgomery	2,229	1.330	0.068	42.899066, -74.567858	3612111	02391575		Canajoharie
Canaseraga	Allegany	550	1.062	0.000	42.461762, -77.777270	3612177	02391576		Burns
Canastota	Madison	4,804	3.351	0.004	43.084149, -75.755495	3612188	02391577		Lenox
Candor	Tioga	851	0.441	0.000	42.228437, -76.336645	3612210	02391578		Candor
Canisteo	Steuben	2,270	0.934	0.000	42.270354, -77.605658	3612254	02391579		Canisteo
Canton	St. Lawrence	6,314	3.576	0.100	44.599510, -75.170671	3612331	02391580		Canton
Cape Vincent	Jefferson	726	0.724	0.025	44.123110, -76.330707	3612353	02391581		Cape Vincent
Carthage	Jefferson	3,747	2.508	0.170	43.985353, -75.603475	3612683	02391582		Wilna
Cassadaga	Chautauqua	634	0.839	0.217	42.341564, -79.317023	3612749	02391583		Stockton
Castile	Wyoming	1,015	1.352	0.000	42.631184, -78.052551	3612771	02391584		Castile
Castleton-on-Hudson	Rensselaer	1,473	0.714	0.001	42.533796, -73.751094	3612870	02391585		Schodack
Castorland	Lewis	351	0.321	0.000	43.886105, -75.516439	3612881	02391586		Denmark
Cato	Cayuga	532	0.989	0.025	43.165568, -76.567506	3612958	02391587		Cato & Ira
Catskill	Greene	4,081	2.280	0.579	42.212604, -73.859911	3613002	02391588		Catskill
Cattaraugus	Cattaraugus	1,002	1.117	0.002	42.329763, -78.867519	3613024	02391589		New Albion
Cayuga	Cayuga	549	0.904	0.462	42.919548, -76.727987	3613068	02391590		Aurelius
Cayuga Heights	Tompkins	3,729	1.767	0.001	42.467675, -76.488417	3613079	02391591		Ithaca
Cazenovia	Madison	2,835	1.873	0.000	42.928268, -75.850181	3613145	02391592		Cazenovia
Cedarhurst	Nassau	6,592	0.675	0.000	40.625204, -73.727833	3613233	02391593		Hempstead
Celoron	Chautauqua	1,112	0.747	0.000	42.105437, -79.276584	3613288	02391594		Ellicott
Central Square	Oswego	1,848	1.906	0.000	43.285986, -76.141879	3613585	02391595		Hastings
Centre Island	Nassau	410	1.090	0.002	40.898546, -73.521919	3613618	02391596		Oyster Bay
Champlain	Clinton	1,101	1.390	0.039	44.987738, -73.435430	3613739	02391597		Champlain
Chateaugay	Franklin	833	1.083	0.000	44.926589, -74.080398	3613981	02391598		Chateaugay
Chatham	Columbia	1,770	1.237	0.004	42.361824, -73.597979	3614003	02391599		Chatham & Ghent
Chaumont	Jefferson	624	0.971	0.093	44.068353, -76.132749	3614036	02391600		Lyme
Cherry Valley	Otsego	520	0.510	0.000	42.798179, -74.752172	3615242	02391602		Cherry Valley
Chester	Orange	3,969	2.148	0.000	41.356942, -74.276920	3615297	02391603		Chester & Goshen
Chestnut Ridge	Rockland	7,916	4.968	0.003	41.084908, -74.048071	3615400	02391604		Ramapo
Chittenango	Madison	5,081	2.441	0.000	43.046684, -75.874889	3615561	02391607		Sullivan
Churchville	Monroe	1,961	1.153	0.018	43.102256, -77.881586	3615638	02391608		Riga
Clayton	Jefferson	1,978	1.613	0.973	44.237487, -76.082734	3616089	02391609		Clayton
Clayville	Oneida	350	0.439	0.004	42.976045, -75.249211	3616111	02391610		Paris
Cleveland	Oswego	750	1.131	0.093	43.240002, -75.884202	3616188	02391612		Constantia
Clifton Springs	Ontario	2,127	1.519	0.000	42.960752, -77.135457	3616375	02391613		Manchester & Phelps
Clinton	Oneida	1,942	0.626	0.000	43.048866, -75.378462	3616419	02391614		Kirkland
Clyde	Wayne	2,093	2.198	0.059	43.084154, -76.870408	3616573	02391615		Galen
Cobleskill	Schoharie	4,678	3.572	0.004	42.679002, -74.485234	3616628	02391616		Cobleskill
Cohocton	Steuben	838	1.501	0.000	42.499930, -77.500006	3616727	02391617		Cohocton
Cold Brook	Herkimer	329	0.439	0.000	43.239875, -75.038869	3616815	02391618		Russia
Cold Spring	Putnam	2,013	0.594	0.005	41.419238, -73.954744	3616936	02391619		Philipstown
Colonie	Albany	7,793	3.242	0.003	42.720873, -73.831736	3617332	02391620		Colonie
Constableville	Lewis	242	1.118	0.000	43.564878, -75.428055	3617882	02391621		West Turin
Cooperstown	Otsego	1,852	1.635	0.210	42.698875, -74.930659	3618047	02391622		Middlefield & Otsego
Copenhagen	Lewis	801	1.176	0.000	43.893436, -75.672617	3618135	02391623		Denmark
Corfu	Genesee	709	0.995	0.000	42.961163, -78.402610	3618201	02391624		Darien & Pembroke
Corinth	Saratoga	2,559	1.067	0.039	43.245662, -73.830348	3618212	02391625		Corinth
Cornwall-on-Hudson	Orange	3,018	1.987	0.105	41.433521, -74.015145	3618333	02391626		Cornwall
Cove Neck	Nassau	286	1.284	0.280	40.885591, -73.497821	3618597	02391627		Oyster Bay
Coxsackie	Greene	2,813	2.172	0.423	42.357638, -73.807997	3618718	02391628		Coxsackie
Croghan	Lewis	618	0.434	0.000	43.894563, -75.391229	3619070	02391629		Croghan & New Bremen
Croton-on-Hudson	Westchester	8,070	4.642	6.038	41.209652, -73.901152	3619213	02391630		Cortlandt
Cuba	Allegany	1,575	1.216	0.000	42.218292, -78.275211	3619356	02391631		Cuba
